Ano,Município,Nome Oficial do Parque,Valor Conveniado,Valor Executado,Status,Data de Assinatura do Convênio,Data de Início das Obras,Data de Entrega,Área,Endereço,Coordenada x ,Coordenada y,Imagem,Maps,Habitantes
2021,Califórnia,,-,,Em Andamento,-,-,,"84.192,58","R. Campo Limpo, 167, CEP:86820-000","-23,67146400","-51,35121600",,,9.438
2021,Cambará,Parque Alambari II,"R$ 1.084.641,84","R$ 1.185.265,41",Concluído,07/12/2021,05/04/2022,05/12/2025,"48.400,00","R. Pedro Guilhen, CEP: 86390-000","-23,03281800","-50,07598000",Git,"https://www.google.com/maps/place/Parque+Alambari+II/@-23.0340077,-50.0754383,282m/data=!3m1!1e3!4m6!3m5!1s0x94eaa1a4060cf16f:0x78c037b6af1b987b!8m2!3d-23.0349585!4d-50.0749676!16s%2Fg%2F11fylxfxll?entry=ttu&g_ep=EgoyMDI2MDMyMy4xIKXMDSoASAFQAw%3D%3D",23.956
2020,Campina da Lagoa,,"R$ 535.990,70","R$ 535.990,70",Concluído,13/05/2020,10/10/2020,07/08/2024,"21.188,92","R. Antonio Morilo Custódio, CEP:87345-000","-24,58837500","-52,81165900",Git,,15.737
2019,Campo Mourão,Parque Pedreira,"R$ 2.355.217,55","R$ 2.355.217,55",Concluído,13/12/2019,14/05/2020,29/08/2022,"92.071,56","R. Alcídes Hauage - Jardim Santa Cruz, Campo Mourão - PR","-24,00197340","-52,36874284",Git,"https://www.google.com/maps/place/Parque+Pedreira/@-24.0019734,-52.3687428,353m/data=!3m1!1e3!4m6!3m5!1s0x94ed752851952a99:0xb5e18540476c0b04!8m2!3d-24.000982!4d-52.3685935!16s%2Fg%2F11qgyjpycx?entry=ttu&g_ep=EgoyMDI2MDQwNi4wIKXMDSoASAFQAw%3D%3D",99.170
2025,Campo Mourão,,"R$ 2.217.653,29",-,,,,,"96.954,22",R. Iraci Ferreira Martins - Campo Mourão,"-24,02258536607293","-52,400248746988744",,,99.170
2021,Cianorte,Parque Manduhy,"R$ 4.433.804,09","R$ 4.671.250,60",Concluído,01/12/2021,18/10/2022,22/01/2025,"157.857,97","R. Guilherme Bersani, 1514, Zona 3, CEP:87200-000","-23,68153700","-52,60666500",Git,,82.232
2020,Cidade Gaúcha,,"R$ 1.045.348,65","R$ 1.072.414,01",Concluído,13/05/2020,03/05/2021,30/01/2025,"24.200,00","R. Cambuí, CEP: 87820-000","-23,39294000","-52,93461700",,,11.467
2021,Cornélio Procópio,,"R$ 2.321.145,33","R$ 2.418.334,92",Em Andamento,07/12/2021,19/05/2022,-,"26.273,00","R. João Reghin, 85, CEP:86300-000","-23,18107900","-50,64088600",,,44.599
2020,Corumbataí do Sul,,-,"R$ 753.128,78",Em Andamento,-,-,-,"121.376,00","Av. Tupi, 187, CEP: 86970-000","-24,09685400","-52,11855000",,,3.752
2019,Cruzeiro do Iguaçu,Lago Cruzeiro do Iguaçu,"R$ 679.223,01","R$ 679.223,01",Concluído,17/12/2019,17/06/2020,07/10/2021,"9.359,55","R. Constantino Mezomo, 640, Cruzeiro do Iguaçu - PR, 85598-000","-24,00197340","-52,36874284",Git,"https://www.google.com/maps/place/Lago+Cruzeiro+do+Igua%C3%A7u/@-25.6180061,-53.1298813,177m/data=!3m1!1e3!4m6!3m5!1s0x94f04b6424280149:0x35a53b54e0c71a8f!8m2!3d-25.617993!4d-53.1299086!16s%2Fg%2F11h_24dn43?entry=ttu&g_ep=EgoyMDI2MDQwNi4wIKXMDSoASAFQAw%3D%3D",4.137
2020,Cruzeiro do Oeste,,"R$ 1.524.926,07","R$ 1.854.450,04",Concluído,20/05/2020,18/12/2020,19/02/2025,"24.143,48","R. Paraná, 317, CEP:87400-000","-23,78409800","-53,06866000",,,23.852
2025,Cruzeiro do Sul,Parque Ecológico dos Pioneiros,"R$ 877.200,54",-,,,,,"53.276,48","Av. Dr. Gastão Vidigal, Cruzeiro do Sul - PR, 87650-000","-22,961349167669105","-52,15570290",,"https://www.google.com/maps/place/Parque+Ecol%C3%B3gico+dos+Pioneiros/@-22.9618714,-52.1581853,728a,35y,357.94h/data=!3m1!1e3!4m15!1m8!3m7!1s0x9492e6710e25dc4f:0xd11200a98fbe71b6!2sAv.+Dr.+Gast%C3%A3o+Vidigal,+Cruzeiro+do+Sul+-+PR,+87650-000!3b1!8m2!3d-22.9616834!4d-52.1626028!16s%2Fg%2F1ymv8zhgx!3m5!1s0x9492e67ba660c91b:0xc2e58b6450bd48c9!8m2!3d-22.9614036!4d-52.1559523!16s%2Fg%2F11c0rn5cvy?entry=ttu&g_ep=EgoyMDI2MDQxMi4wIKXMDSoASAFQAw%3D%3D",4.495
2020,Diamante do Norte,,"R$ 898.400,38","R$ 898.400,38",Concluído,13/05/2020,09/06/2020,15/05/2024,"49.200,00","Av. Santa Catarina, 827, CEP:87990-000","-22,65706200","-52,85497000",,,5.151
2021,Flor da Serra do Sul,Parque da Flor do Lago,"R$ 797.143,59","R$ 797.143,59",Concluído,09/12/2021,03/05/2022,04/10/2024,"15.322,50","R. Ernesto Francisco Savaris, 395, Centro, CEP:85618-000","-26,25744100","-53,30735800",Git,"https://www.google.com/maps/place/Lago+Municipal/@-26.2570333,-53.3082349,394a,35y,10.76h/data=!3m1!1e3!4m6!3m5!1s0x94f07f3389c5385f:0x6088f526e1dcc166!8m2!3d-26.2570175!4d-53.3078028!16s%2Fg%2F11hbpx03rl?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D",4.230
2019,Formosa do Oeste,Lago Municipal de Formosa do Oeste,"R$ 1.732.959,33","R$ 1.843.682,63",Concluído,17/12/2019,14/12/2020,17/12/2025,"34.253,17","Rua Palmira Augusto Pereira - Jardim América, Formosa do Oeste - PR, 85830-000","-24,30410300","-53,31852933",Git,"https://www.google.com/maps/place/Lago+Municipal+de+Formosa+do+Oeste/@-24.3041431,-53.3182496,317a,35y,6.55h/data=!3m1!1e3!4m6!3m5!1s0x94f2ffe09dcad5a7:0xb45972990c012f6d!8m2!3d-24.3041829!4d-53.3186513!16s%2Fg%2F11tp29225f?entry=ttu&g_ep=EgoyMDI2MDQwNi4wIKXMDSoASAFQAw%3D%3D",7.641
